place,name,rating,responses,answers
1,Совкомбанк,89.6982,22939,18818
2,Тинькофф Банк,86.9995,25286,25153
3,Альфа-Банк,85.3764,81145,79597
4,Россельхозбанк,68.0055,2214,2121
5,Ozon Банк,62.0323,5492,5396
6,Хоум Банк,58.9392,3192,3185
7,МТС Банк,55.1679,2957,2941
8,Кредит Европа Банк,49.1702,855,850
9,Русский Стандарт,47.4687,6369,6317
10,Банк «Открытие»,45.609,1378,1364
11,ПСБ,41.7979,1355,1340
12,Московский кредитный банк (МКБ),39.8745,7099,2895
13,КАМКОМБАНК,39.7698,519,501
14,Газпромбанк,38.2007,4547,4522
15,ВТБ,34.9352,6693,6628
16,Банк ДОМ.РФ,33.0863,1159,1118
17,Модульбанк,32.2827,349,348
18,Сбербанк,28.3402,9021,8437
19,Точка,27.9366,375,353
20,Абсолют Банк,27.7836,472,469
21,Банк Синара (СКБ-банк),27.7531,4695,3544
22,Банк ЗЕНИТ,26.6479,268,265
23,Почта Банк,25.7489,1384,1348
24,Экспобанк,24.5389,73,73
25,Делобанк,23.521,97,95
26,Ренессанс Банк,23.0431,458,448
27,Бланк,22.1759,215,196
28,Росбанк,22.1699,736,735
29,БЖФ Банк,22.0485,43,43
30,Просто|Банк,21.6182,16,16
31,РНКБ,21.3859,154,151
32,Таврический Банк,21.0984,19,19
33,ЮMoney,20.6293,217,215
34,Норвик Банк,20.5524,24,21
35,Промсельхозбанк,20.5524,2,0
36,ВБРР,20.5422,26,24
37,Банк «РОССИЯ»,20.5422,13,13
38,Банк Финсервис,20.4018,6,6
39,Реалист Банк,20.4018,10,10
40,Энерготрансбанк,20.3475,3,0
41,ФИНСТАР БАНК,20.3475,1,1
42,Банк Казани,20.3407,14,8
43,БМВ Банк,20.2792,2,0
44,Хлынов,20.2064,5,5
45,НС Банк,20.2064,11,4
46,Кубань Кредит,20.2026,12,10
47,Примсоцбанк,20.1465,32,24
48,БыстроБанк,20.1426,7,7
49,Развитие-Столица,20.1426,1,0
50,Земский банк,20.1426,1,0
51,Банк «Пойдём!»,20.1426,5,3
52,Металлинвестбанк,20.1391,17,3
53,Банк «Санкт-Петербург»,20.0461,532,517
54,Углеметбанк,20.006,1,0
55,НДБанк,20.006,2,0
56,Банк «РЕСО Кредит»,20.006,2,0
57,КОШЕЛЕВ-БАНК,20.006,2,0
58,Банк «Йошкар-Ола»,20.006,2,0
59,Банк Интеза,20.006,6,0
60,Банк «Солидарность»,20.006,7,6
61,Урал ФД,20.006,2,0
62,банк Раунд,20.006,2,0
63,СПБ Банк,20.006,9,0
64,Кубаньторгбанк,20.006,2,0
65,Ланта-Банк,20.006,2,0
66,Челябинвестбанк,20.006,2,0
67,Банк БКФ,20.006,1,1
68,МБ РУС Банк,20.006,1,0
69,Кузнецкбизнесбанк,20.006,1,0
70,Енисейский объединенный банк,20.006,1,0
71,ИС Банк,20.006,1,0
72,Банк «МБА-МОСКВА»,20.006,1,0
73,Банк «АГРОПРОМКРЕДИТ»,20.006,1,0
74,Москва-Сити,20.006,1,0
75,Солид Банк,20.0049,13,11
76,Центр-инвест,19.8984,40,38
77,Дальневосточный Банк,19.8127,14,3
78,Москоммерцбанк,19.8035,5,3
79,НОВИКОМ,19.7554,26,23
80,СЕВЕРГАЗБАНК,19.7477,12,0
81,МОРСКОЙ БАНК,19.7413,7,3
82,СДМ-Банк,19.6753,9,8
83,Алмазэргиэнбанк,19.6692,3,0
84,Банк «ОРЕНБУРГ»,19.6692,3,0
85,Газэнергобанк,19.6692,3,3
86,Банк ПТБ,19.6092,4,0
87,Локо-Банк,19.5473,115,114
88,Яндекс Банк,19.1659,1597,1485
89,Драйв Клик Банк,19.1616,244,242
90,ББР Банк,19.0873,32,27
91,Банк ФИНАМ,19.0717,13,0
92,Ситибанк,19.0329,6,0
93,Банк «Приморье»,18.8198,25,2
94,Юнистрим,18.8022,26,25
95,Фора-Банк,18.4421,20,20
96,Авангард,18.3196,34,0
97,Инвестторгбанк,18.3196,21,0
98,РостФинанс,18.3045,20,17
99,Ингосстрах Банк,18.1622,36,33
100,Цифра банк,17.9786,79,78
101,Авто Финанс Банк,17.7939,15,0
102,ЮниКредит Банк,17.6997,97,97
103,Банк ТКБ,17.5446,52,46
104,Банк «Левобережный»,16.5174,44,44
105,Уралсиб,16.5021,485,482
106,Уральский банк реконструкции и развития (УБРиР),15.7784,631,628
107,Вайлдберриз Банк,15.7527,43,0
108,Азиатско-Тихоокеанский банк (АТБ),15.5443,136,108
109,БКС Банк,15.1803,110,87
110,Райффайзен Банк,14.3911,487,462
111,Свой Банк,11.1639,281,279
112,ОТП Банк,11.0756,599,589
113,Ак Барс Банк,9.89025,392,257
