place,name,rating,responses,answers
114,Русский Банк Сбережений,0,10,0
115,Банк «Национальный стандарт»,0,1,0
116,Банк «СЛАВИЯ»,0,1,0
117,Александровский,0,2,0
118,Банк Акцепт,0,4,0
119,ПЕРВОУРАЛЬСКБАНК,0,1,0
120,Кетовский Коммерческий Банк,0,1,0
121,Роял Кредит Банк,0,1,0
122,РосДорБанк,0,1,1
123,Челиндбанк,0,2,0
124,Автоторгбанк,0,2,0
125,МСП Банк,0,2,0
126,Далена Банк,0,1,0
127,Банк «ПСКБ»,0,1,0
128,Трансстройбанк,0,2,0
129,Тойота Банк,0,2,0
130,МТИ Банк,0,1,0
131,SBI Банк,0,18,0
132,Первый Инвестиционный Банк,0,1,0
133,Долинск,0,2,0
134,Банк «ИТУРУП»,0,1,0
135,Почтобанк,0,3,0
136,Новый Московский Банк,0,1,0
137,Алеф-Банк,0,69,0
138,АвтоКредитБанк,0,11,0
139,Банк «Дружба»,0,1,0
140,АРЕСБАНК,0,1,0
141,Газтрансбанк,0,1,0
142,Банк Кредит Свисс (Москва),0,1,0
143,Российская Финансовая Корпорация,0,1,0
144,Экономбанк,0,1,0
145,Донкомбанк,0,1,0
146,БМ-Банк,0,1,0
147,Датабанк,0,1,0
148,Банк «Венец»,0,4,0
149,Кредит Урал Банк,0,4,2
150,ГЕНБАНК,0,2,0
151,Сургутнефтегазбанк,0,2,0
152,РУСНАРБАНК,0,2,2
153,МС Банк Рус,0,2,0
154,Интерпрогрессбанк,0,1,1
155,Банк «Мир Привилегий»,0,3,0
156,Автоградбанк,0,3,0
157,Агророс Банк,0,2,0
158,Народный инвестиционный банк (НИБ),0,1,0
159,Банк «АГОРА»,0,6,0
160,Траст,0,2,0
161,SEB,0,3,0
162,Джей энд Ти Банк,0,1,0
163,ТАТСОЦБАНК,0,1,0
